run,event,n.charged,n.muon,p.charged,e.ecal,e.hcal,e.lep,cos.t
5227,441,3,0,0,92,0.2,45.57,NA
5227,566,7,0,84.4,89.1,0.2,45.57,NA
5227,589,2,0,92.2,89.5,0.2,45.57,NA
5227,949,7,0,0,67.9,0,45.57,NA
5227,1247,3,0,78.5,90.3,0.3,45.57,NA
5227,1272,2,0,83.8,93.5,0.9,45.57,NA
5227,1297,5,0,0,75.3,0.8,45.57,NA
5227,1302,0,0,0,84.1,0.8,45.57,NA
5227,1319,2,0,71,91.6,1.8,45.57,0.9992
5227,1575,6,0,0,95.3,1.4,45.57,NA
5227,1672,2,0,71.6,92.2,0,45.57,NA
5227,1687,2,0,71.3,94.2,0.7,45.57,0.9998
5227,1862,2,0,47.4,88.5,0.3,45.57,1
5227,1879,14,0,0,83.8,0.3,45.57,NA
5227,1886,2,0,83.2,91.2,0.3,45.57,NA
5227,1976,6,0,47.9,90.3,0.3,45.57,0.9998
5227,2197,5,0,65.1,92.5,0,45.57,NA
5227,2224,2,0,82.5,90.3,0.3,45.57,NA
5227,2273,4,0,0,91.1,2.2,45.57,NA
5227,2416,2,0,0,90.1,6.1,45.57,NA
5227,2433,2,0,0,97.3,0.3,45.57,NA
5227,2564,6,0,2,90.8,0.7,45.57,0.998
5227,2571,2,0,59.9,92.3,0.3,45.57,NA
5227,2617,2,0,78.9,91,0.3,45.57,1
5227,2767,5,0,0,86.4,0.3,45.57,NA
5227,2775,7,0,0,63.1,2.6,45.57,0.9878
5227,2819,2,0,90.2,91.2,0.3,45.57,NA
5227,2910,3,0,47.9,95.1,0,45.57,0.9939
5227,2938,2,0,85.8,83.1,0.9,45.57,0.9939
5227,2998,4,0,0,120.2,12.7,45.57,0.9995
5227,3073,2,0,87,90.7,1.3,45.57,1
5227,3148,8,0,52.4,90.4,0.3,45.57,0.9985
5227,3191,2,0,82.4,63.7,0,45.57,0.9925
5227,3215,2,0,90.4,94,0,45.57,NA
5227,3355,2,0,66.5,91,0,45.57,NA
5227,3428,4,0,0,86.1,0,45.57,NA
5227,3578,5,0,0,101.1,0,45.57,NA
5227,3646,3,0,575.6,91.9,0,45.57,0.9999
5227,3712,2,0,36.5,91.8,0,45.57,NA
5227,3879,3,0,0,101.1,0,45.57,0.9994
5227,3935,4,0,42.7,92.6,0,45.57,NA
5227,4002,3,0,84,92.6,0,45.57,0.9886
5227,4068,4,0,57.4,92.4,0,45.57,1
5227,4628,8,0,0,70.8,0,45.57,NA
5227,4659,3,0,69.7,90.6,0,45.57,NA
5227,4660,5,0,10.8,58.4,0,45.57,0.9741
5227,4744,13,0,0,76.8,0,45.57,NA
5227,4792,2,0,90.5,93.1,0,45.57,NA
5227,4816,2,0,0,74.7,0,45.57,NA
5227,4817,3,0,90.3,91.7,0,45.57,0.9961
